report_date,district,active_cases,cumulative_faculty_staff_cases,cumulative_student_cases,cumulative_total,PRIVATE SCHOOL,Private Active Cases,Private Cumulative Faculty/Staff Cases,Private Cumulative Student Cases,Private Cumulative Total,COLLEGE/UNIVERSITY,Uni Active Cases,Uni Cumulative Faculty/Staff Cases,Uni Cumulative Student Cases,Uni Cumulative Total,Totals among schools with less than 5 active cases.,<5 Cumulative Active Cases,<5 Cumulative Faculty/Staff Cases,<5 Cumulative Student Cases,<5 Cumulative Total,Totals for all schools.,Cumulative Active Cases,Cumulative Faculty/Staff Cases,Cumulative Student Cases,Cumulative Total
3/4/2021,BENTONVILLE SCHOOL DIST,37,332,915,"1,351","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",5,20,61,84,"U OF A, FAYETTEVILLE",31,269,"2,780","3,659",PUBLIC SCHOOL DISTRICTS,207,"7,838","17,326","26,478",PUBLIC SCHOOL DISTRICTS,461,"11,600","28,286","42,161"
3/4/2021,SPRINGDALE SCHOOL DIST,25,400,"1,558","2,132",TOTAL,5,20,61,84,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",25,47,282,365,PRIVATE SCHOOLS,23,607,"1,489","2,198",PRIVATE SCHOOLS,28,627,"1,550","2,282"
3/4/2021,ROGERS SCHOOL DIST,18,297,"1,090","1,486",,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",11,40,187,286,COLLEGES/UNIVERSITIES,62,"1,100","4,516","6,532",COLLEGES/UNIVERSITIES,172,"1,870","10,078","13,857"
3/4/2021,CABOT SCHOOL DIST,15,207,531,803,,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",10,77,558,760,,,,,,,,,,
3/4/2021,LAKE HAMILTON SCHOOL DIST,12,100,292,407,,,,,,"HARDING UNIVERSITY, SEARCY",10,85,392,604,,,,,,,,,,
3/4/2021,LITTLE ROCK SCHOOL DIST,11,343,919,"1,330",,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,97,700,903,,,,,,,,,,
3/4/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,11,233,509,805,,,,,,"U OF A, PINE BLUFF",7,43,195,264,,,,,,,,,,
3/4/2021,FAYETTEVILLE SCHOOL DIST,10,93,513,606,,,,,,"U OF A, LITTLE ROCK",7,58,273,383,,,,,,,,,,
3/4/2021,BRYANT SCHOOL DIST,9,170,555,769,,,,,,"ARKANSAS STATE UNIVERSITY, JONESBORO",5,147,810,960,,,,,,,,,,
3/4/2021,EL DORADO SCHOOL DIST,9,91,200,303,,,,,,TOTAL,114,863,"6,177","8,184",,,,,,,,,,
3/4/2021,NORTH LITTLE ROCK SCHOOL DIST,9,145,330,515,,,,,,,,,,,,,,,,,,,,
3/4/2021,RUSSELLVILLE SCHOOL DIST,9,137,369,523,,,,,,,,,,,,,,,,,,,,
3/4/2021,FORT SMITH SCHOOL DIST,8,332,808,"1,212",,,,,,,,,,,,,,,,,,,,
3/4/2021,BENTON SCHOOL DIST,7,109,338,469,,,,,,,,,,,,,,,,,,,,
3/4/2021,CONWAY SCHOOL DIST,7,167,613,819,,,,,,,,,,,,,,,,,,,,
3/4/2021,MCGEHEE SCHOOL DIST,7,39,78,128,,,,,,,,,,,,,,,,,,,,
3/4/2021,SHERIDAN SCHOOL DIST,7,77,199,303,,,,,,,,,,,,,,,,,,,,
3/4/2021,CLARKSVILLE SCHOOL DIST,6,87,143,237,,,,,,,,,,,,,,,,,,,,
3/4/2021,FARMINGTON SCHOOL DIST,6,43,173,235,,,,,,,,,,,,,,,,,,,,
3/4/2021,TEXARKANA SCHOOL DIST,6,86,116,211,,,,,,,,,,,,,,,,,,,,
3/4/2021,DIERKS SCHOOL DIST,5,14,34,48,,,,,,,,,,,,,,,,,,,,
3/4/2021,GREENWOOD SCHOOL DIST,5,85,244,346,,,,,,,,,,,,,,,,,,,,
3/4/2021,HAMBURG SCHOOL DIST,5,50,93,150,,,,,,,,,,,,,,,,,,,,
3/4/2021,LAKESIDE SCHOOL DIST(GARLAND),5,63,216,306,,,,,,,,,,,,,,,,,,,,
3/4/2021,PINE BLUFF SCHOOL DIST,5,62,124,189,,,,,,,,,,,,,,,,,,,,
3/4/2021,TOTAL,254,"3,762","10,960","15,683",,,,,,,,,,,,,,,,,,,,
3/1/2021,BENTONVILLE SCHOOL DIST,34,328,903,"1,334","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",5,20,60,83,"U OF A, FAYETTEVILLE",34,268,"2,773","3,652",PUBLIC SCHOOL DISTRICTS,207,"8,022","17,915","27,282",PUBLIC SCHOOL DISTRICTS,446,"11,560","28,174","41,995"
3/1/2021,SPRINGDALE SCHOOL DIST,20,398,"1,550","2,121",TOTAL,5,20,60,83,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",28,47,281,363,PRIVATE SCHOOLS,22,605,"1,258","2,186",PRIVATE SCHOOLS,27,625,"1,539","2,269"
3/1/2021,ROGERS SCHOOL DIST,18,297,"1,085","1,480",,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",11,77,558,759,COLLEGES/UNIVERSITIES,58,"1,174","4,651","6,570",COLLEGES/UNIVERSITIES,179,"1,869","10,054","13,823"
3/1/2021,CABOT SCHOOL DIST,17,206,529,800,,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",11,40,184,283,,,,,,,,,,
3/1/2021,FAYETTEVILLE SCHOOL DIST,15,93,513,606,,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",11,97,699,902,,,,,,,,,,
3/1/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,12,233,505,800,,,,,,"HARDING UNIVERSITY, SEARCY",8,85,392,601,,,,,,,,,,
3/1/2021,FORT SMITH SCHOOL DIST,11,332,807,"1,211",,,,,,"U OF A, PINE BLUFF",7,43,195,263,,,,,,,,,,
3/1/2021,BRYANT SCHOOL DIST,10,170,554,768,,,,,,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",6,24,239,301,,,,,,,,,,
3/1/2021,HAMBURG SCHOOL DIST,10,50,93,150,,,,,,"LYON COLLEGE, BATESVILLE",5,14,82,129,,,,,,,,,,
3/1/2021,LITTLE ROCK SCHOOL DIST,10,342,916,"1,327",,,,,,TOTAL,121,695,"5,403","7,253",,,,,,,,,,
3/1/2021,EL DORADO SCHOOL DIST,9,91,195,298,,,,,,,,,,,,,,,,,,,,
3/1/2021,NORTH LITTLE ROCK SCHOOL DIST,8,143,329,512,,,,,,,,,,,,,,,,,,,,
3/1/2021,SHERIDAN SCHOOL DIST,8,77,199,302,,,,,,,,,,,,,,,,,,,,
3/1/2021,FARMINGTON SCHOOL DIST,7,43,172,234,,,,,,,,,,,,,,,,,,,,
3/1/2021,LAKE HAMILTON SCHOOL DIST,7,100,289,404,,,,,,,,,,,,,,,,,,,,
3/1/2021,RUSSELLVILLE SCHOOL DIST,7,136,366,519,,,,,,,,,,,,,,,,,,,,
3/1/2021,WHITE HALL SCHOOL DIST,6,54,186,257,,,,,,,,,,,,,,,,,,,,
3/1/2021,DIERKS SCHOOL DIST,5,14,34,48,,,,,,,,,,,,,,,,,,,,
3/1/2021,GREENWOOD SCHOOL DIST,5,84,244,345,,,,,,,,,,,,,,,,,,,,
3/1/2021,HUNTSVILLE SCHOOL DIST,5,70,105,181,,,,,,,,,,,,,,,,,,,,
3/1/2021,JONESBORO SCHOOL DIST,5,128,354,500,,,,,,,,,,,,,,,,,,,,
3/1/2021,LAKESIDE SCHOOL DIST(GARLAND),5,63,216,306,,,,,,,,,,,,,,,,,,,,
3/1/2021,TEXARKANA SCHOOL DIST,5,86,115,210,,,,,,,,,,,,,,,,,,,,
3/1/2021,TOTAL,239,"3,538","10,259","14,713",,,,,,,,,,,,,,,,,,,,
2/25/2021,BENTONVILLE SCHOOL DIST,31,325,889,"1,318","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",6,18,60,83,"U OF A, FAYETTEVILLE",33,267,"2,759","3,640",PUBLIC SCHOOL DISTRICTS,171,"7,972","17,608","26,914",PUBLIC SCHOOL DISTRICTS,429,"11,487","27,950","41,691"
2/25/2021,SPRINGDALE SCHOOL DIST,25,393,"1,536","2,102",TOTAL,6,18,60,83,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",14,47,270,348,PRIVATE SCHOOLS,27,603,"1,474","2,177",PRIVATE SCHOOLS,33,621,"1,534","2,260"
2/25/2021,ROGERS SCHOOL DIST,24,296,"1,079","1,473",,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",13,96,692,893,COLLEGES/UNIVERSITIES,46,"1,099","4,347","6,312",COLLEGES/UNIVERSITIES,155,"1,860","9,970","13,732"
2/25/2021,CABOT SCHOOL DIST,16,205,519,788,,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",11,77,555,756,,,,,,,,,,
2/25/2021,FORT SMITH SCHOOL DIST,14,331,804,"1,206",,,,,,"LYON COLLEGE, BATESVILLE",9,14,81,128,,,,,,,,,,
2/25/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,14,232,499,793,,,,,,"ARKANSAS STATE UNIVERSITY, JONESBORO",7,147,805,955,,,,,,,,,,
2/25/2021,LAKESIDE SCHOOL DIST(GARLAND),11,63,212,302,,,,,,"HARDING UNIVERSITY, SEARCY",7,85,387,599,,,,,,,,,,
2/25/2021,HAMBURG SCHOOL DIST,9,49,91,148,,,,,,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",7,24,238,300,,,,,,,,,,
2/25/2021,JONESBORO SCHOOL DIST,9,128,353,500,,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",7,39,179,278,,,,,,,,,,
2/25/2021,FAYETTEVILLE SCHOOL DIST,8,93,504,597,,,,,,"U OF A, LITTLE ROCK",5,57,270,379,,,,,,,,,,
2/25/2021,SHERIDAN SCHOOL DIST,8,76,197,297,,,,,,TOTAL,113,853,"6,236","8,276",,,,,,,,,,
2/25/2021,WHITE HALL SCHOOL DIST,8,54,183,255,,,,,,,,,,,,,,,,,,,,
2/25/2021,EL DORADO SCHOOL DIST,7,91,191,294,,,,,,,,,,,,,,,,,,,,
2/25/2021,FARMINGTON SCHOOL DIST,7,42,171,233,,,,,,,,,,,,,,,,,,,,
2/25/2021,HARMONY GROVE SCH DIST(SALINE),7,32,87,125,,,,,,,,,,,,,,,,,,,,
2/25/2021,LITTLE ROCK SCHOOL DIST,7,341,909,"1,318",,,,,,,,,,,,,,,,,,,,
2/25/2021,LAKE HAMILTON SCHOOL DIST,6,100,284,399,,,,,,,,,,,,,,,,,,,,
2/25/2021,POTTSVILLE SCHOOL DIST,6,41,118,167,,,,,,,,,,,,,,,,,,,,
2/25/2021,TWO RIVERS SCHOOL DIST,6,26,41,70,,,,,,,,,,,,,,,,,,,,
2/25/2021,BAUXITE SCHOOL DIST,5,46,119,174,,,,,,,,,,,,,,,,,,,,
2/25/2021,CONWAY SCHOOL DIST,5,166,608,813,,,,,,,,,,,,,,,,,,,,
2/25/2021,DIERKS SCHOOL DIST,5,14,34,48,,,,,,,,,,,,,,,,,,,,
2/25/2021,GREENWOOD SCHOOL DIST,5,83,243,343,,,,,,,,,,,,,,,,,,,,
2/25/2021,HUNTSVILLE SCHOOL DIST,5,69,103,178,,,,,,,,,,,,,,,,,,,,
2/25/2021,NORTH LITTLE ROCK SCHOOL DIST,5,140,327,507,,,,,,,,,,,,,,,,,,,,
2/25/2021,SEARCY SCHOOL DIST,5,79,241,329,,,,,,,,,,,,,,,,,,,,
2/25/2021,TOTAL,258,"3,515","10,342","14,777",,,,,,,,,,,,,,,,,,,,
2/22/2021,BENTONVILLE SCHOOL DIST,28,323,871,"1,295",TOTAL,0,0,0,0,"U OF A, FAYETTEVILLE",38,266,"2,751","3,625",PUBLIC SCHOOL DISTRICTS,230,"7,935","17,456","26,694",PUBLIC SCHOOL DISTRICTS,480,"11,425","27,771","41,414"
2/22/2021,SPRINGDALE SCHOOL DIST,25,393,"1,530","2,093",,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",17,95,692,890,PRIVATE SCHOOLS,29,620,"1,521","2,244",PRIVATE SCHOOLS,29,620,"1,521","2,244"
2/22/2021,CABOT SCHOOL DIST,22,203,512,779,,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",11,76,551,746,COLLEGES/UNIVERSITIES,51,"1,173","4,754","6,679",COLLEGES/UNIVERSITIES,158,"1,852","9,922","13,643"
2/22/2021,ROGERS SCHOOL DIST,18,295,"1,066","1,457",,,,,,"LYON COLLEGE, BATESVILLE",10,14,81,126,,,,,,,,,,
2/22/2021,FORT SMITH SCHOOL DIST,16,329,801,"1,201",,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",9,39,177,273,,,,,,,,,,
2/22/2021,FAYETTEVILLE SCHOOL DIST,14,92,502,594,,,,,,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",8,47,265,336,,,,,,,,,,
2/22/2021,LITTLE ROCK SCHOOL DIST,12,340,905,"1,313",,,,,,"HARDING UNIVERSITY, SEARCY",7,85,384,592,,,,,,,,,,
2/22/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,12,229,495,786,,,,,,"U OF A, LITTLE ROCK",7,57,267,376,,,,,,,,,,
2/22/2021,LAKESIDE SCHOOL DIST(GARLAND),10,62,208,295,,,,,,TOTAL,107,679,"5,168","6,964",,,,,,,,,,
2/22/2021,RUSSELLVILLE SCHOOL DIST,9,129,362,506,,,,,,,,,,,,,,,,,,,,
2/22/2021,SEARCY SCHOOL DIST,9,78,239,325,,,,,,,,,,,,,,,,,,,,
2/22/2021,WHITE HALL SCHOOL DIST,9,54,182,253,,,,,,,,,,,,,,,,,,,,
2/22/2021,BRYANT SCHOOL DIST,8,168,544,756,,,,,,,,,,,,,,,,,,,,
2/22/2021,CONWAY SCHOOL DIST,8,165,605,809,,,,,,,,,,,,,,,,,,,,
2/22/2021,HARMONY GROVE SCH DIST(SALINE),8,32,83,121,,,,,,,,,,,,,,,,,,,,
2/22/2021,SHERIDAN SCHOOL DIST,8,76,194,291,,,,,,,,,,,,,,,,,,,,
2/22/2021,NORTH LITTLE ROCK SCHOOL DIST,7,138,325,503,,,,,,,,,,,,,,,,,,,,
2/22/2021,DARDANELLE SCHOOL DIST,6,56,183,254,,,,,,,,,,,,,,,,,,,,
2/22/2021,TWO RIVERS SCHOOL DIST,6,26,38,67,,,,,,,,,,,,,,,,,,,,
2/22/2021,BAUXITE SCHOOL DIST,5,46,117,171,,,,,,,,,,,,,,,,,,,,
2/22/2021,SILOAM SPRINGS SCHOOL DIST,5,119,234,373,,,,,,,,,,,,,,,,,,,,
2/22/2021,VAN BUREN SCHOOL DIST,5,137,319,478,,,,,,,,,,,,,,,,,,,,
2/22/2021,TOTAL,250,"3,490","10,315","14,720",,,,,,,,,,,,,,,,,,,,
2/18/2021,CABOT SCHOOL DIST,39,201,511,776,TOTAL,0,0,0,0,"U OF A, FAYETTEVILLE",43,265,"2,740","3,610",PUBLIC SCHOOL DISTRICTS,287,"5,730","11,977","18,594",PUBLIC SCHOOL DISTRICTS,999,"11,395","27,686","41,294"
2/18/2021,BENTONVILLE SCHOOL DIST,37,319,866,"1,285",,,,,,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",26,95,687,885,PRIVATE SCHOOLS,55,617,"1,516","2,235",PRIVATE SCHOOLS,55,617,"1,516","2,235"
2/18/2021,LITTLE ROCK SCHOOL DIST,30,340,905,"1,313",,,,,,"LYON COLLEGE, BATESVILLE",22,12,80,124,COLLEGES/UNIVERSITIES,65,792,"2,954","4,312",COLLEGES/UNIVERSITIES,269,"1,844","9,886","13,599"
2/18/2021,ROGERS SCHOOL DIST,29,294,"1,058","1,447",,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",21,75,549,744,,,,,,,,,,
2/18/2021,SPRINGDALE SCHOOL DIST,28,393,"1,513","2,077",,,,,,"U OF A, LITTLE ROCK",13,57,266,375,,,,,,,,,,
2/18/2021,FORT SMITH SCHOOL DIST,27,329,796,"1,196",,,,,,"HARDING UNIVERSITY, SEARCY",11,85,383,592,,,,,,,,,,
2/18/2021,BRYANT SCHOOL DIST,26,168,544,755,,,,,,"NATIONAL PARK COLLEGE, HOT SPRINGS",9,24,95,152,,,,,,,,,,
2/18/2021,CONWAY SCHOOL DIST,20,164,605,808,,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",9,39,176,272,,,,,,,,,,
2/18/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,20,228,493,783,,,,,,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",9,47,262,333,,,,,,,,,,
2/18/2021,FAYETTEVILLE SCHOOL DIST,17,92,496,588,,,,,,"U OF A, FORT SMITH",7,59,273,372,,,,,,,,,,
2/18/2021,DARDANELLE SCHOOL DIST,15,56,182,253,,,,,,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",7,32,168,222,,,,,,,,,,
2/18/2021,LAKESIDE SCHOOL DIST(GARLAND),15,62,208,294,,,,,,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",6,34,77,126,,,,,,,,,,
2/18/2021,RUSSELLVILLE SCHOOL DIST,15,129,360,504,,,,,,"U OF A, MONTICELLO",6,29,134,205,,,,,,,,,,
2/18/2021,VAN BUREN SCHOOL DIST,15,137,319,478,,,,,,"ARKANSAS STATE UNIVERSITY, JONESBORO",5,146,802,951,,,,,,,,,,
2/18/2021,BENTON SCHOOL DIST,14,108,329,458,,,,,,"HENDERSON STATE UNIVERSITY, ARKADELPHIA",5,42,189,244,,,,,,,,,,
2/18/2021,NORTH LITTLE ROCK SCHOOL DIST,14,138,325,503,,,,,,UACC AT HOPE-TEXARKANA,5,11,51,80,,,,,,,,,,
2/18/2021,SEARCY SCHOOL DIST,13,78,239,325,,,,,,TOTAL,204,"1,052","6,932","9,287",,,,,,,,,,
2/18/2021,WHITE HALL SCHOOL DIST,13,53,179,249,,,,,,,,,,,,,,,,,,,,
2/18/2021,BAUXITE SCHOOL DIST,12,46,116,170,,,,,,,,,,,,,,,,,,,,
2/18/2021,BOONEVILLE SCHOOL DIST,12,24,56,87,,,,,,,,,,,,,,,,,,,,
2/18/2021,SHERIDAN SCHOOL DIST,12,76,193,288,,,,,,,,,,,,,,,,,,,,
2/18/2021,HOT SPRINGS SCHOOL DIST,11,54,156,218,,,,,,,,,,,,,,,,,,,,
2/18/2021,WEST MEMPHIS SCHOOL DIST,11,105,235,354,,,,,,,,,,,,,,,,,,,,
2/18/2021,SOUTH CONWAY COUNTY SCHOOL DIST,10,59,189,270,,,,,,,,,,,,,,,,,,,,
2/18/2021,EL DORADO SCHOOL DIST,9,89,187,287,,,,,,,,,,,,,,,,,,,,
2/18/2021,ENGLAND SCHOOL DIST,9,11,41,56,,,,,,,,,,,,,,,,,,,,
2/18/2021,HARMONY GROVE SCH DIST(SALINE),9,32,83,121,,,,,,,,,,,,,,,,,,,,
2/18/2021,TWO RIVERS SCHOOL DIST,9,26,38,67,,,,,,,,,,,,,,,,,,,,
2/18/2021,VILONIA SCHOOL DIST,9,68,186,276,,,,,,,,,,,,,,,,,,,,
2/18/2021,GREENWOOD SCHOOL DIST,8,82,242,340,,,,,,,,,,,,,,,,,,,,
2/18/2021,GURDON SCHOOL DIST,8,22,30,54,,,,,,,,,,,,,,,,,,,,
2/18/2021,SILOAM SPRINGS SCHOOL DIST,8,119,234,373,,,,,,,,,,,,,,,,,,,,
2/18/2021,FOUNTAIN LAKE SCHOOL DIST,7,34,75,123,,,,,,,,,,,,,,,,,,,,
2/18/2021,HARRISON SCHOOL DIST,7,43,142,191,,,,,,,,,,,,,,,,,,,,
2/18/2021,MAGNOLIA SCHOOL DIST,7,86,209,308,,,,,,,,,,,,,,,,,,,,
2/18/2021,MARION SCHOOL DIST,7,87,257,367,,,,,,,,,,,,,,,,,,,,
2/18/2021,SCRANTON SCHOOL DIST,7,10,31,41,,,,,,,,,,,,,,,,,,,,
2/18/2021,WYNNE SCHOOL DIST,7,59,189,257,,,,,,,,,,,,,,,,,,,,
2/18/2021,ALMA SCHOOL DIST,6,87,176,274,,,,,,,,,,,,,,,,,,,,
2/18/2021,DOVER SCHOOL DIST,6,42,81,129,,,,,,,,,,,,,,,,,,,,
2/18/2021,DUMAS SCHOOL DIST,6,56,81,151,,,,,,,,,,,,,,,,,,,,
2/18/2021,ELKINS SCHOOL DIST,6,38,72,123,,,,,,,,,,,,,,,,,,,,
2/18/2021,HAMBURG SCHOOL DIST,6,44,89,139,,,,,,,,,,,,,,,,,,,,
2/18/2021,JACKSONVILLE NORTH PULASKI SCHOOL DIST,6,69,128,213,,,,,,,,,,,,,,,,,,,,
2/18/2021,LAKE HAMILTON SCHOOL DIST,6,99,279,393,,,,,,,,,,,,,,,,,,,,
2/18/2021,LONOKE SCHOOL DIST,6,44,91,145,,,,,,,,,,,,,,,,,,,,
2/18/2021,MALVERN SCHOOL DIST,6,53,177,251,,,,,,,,,,,,,,,,,,,,
2/18/2021,MCGEHEE SCHOOL DIST,6,37,71,119,,,,,,,,,,,,,,,,,,,,
2/18/2021,MOUNTAIN HOME SCHOOL DIST,6,85,248,356,,,,,,,,,,,,,,,,,,,,
2/18/2021,NETTLETON SCHOOL DIST,6,109,240,364,,,,,,,,,,,,,,,,,,,,
2/18/2021,PINE BLUFF SCHOOL DIST,6,58,120,181,,,,,,,,,,,,,,,,,,,,
2/18/2021,POTTSVILLE SCHOOL DIST,6,41,112,161,,,,,,,,,,,,,,,,,,,,
2/18/2021,SPRING HILL SCHOOL DIST,6,22,61,84,,,,,,,,,,,,,,,,,,,,
2/18/2021,STAR CITY SCHOOL DIST,6,48,101,152,,,,,,,,,,,,,,,,,,,,
2/18/2021,DEQUEEN SCHOOL DIST,5,47,143,193,,,,,,,,,,,,,,,,,,,,
2/18/2021,DEWITT SCHOOL DIST,5,10,42,58,,,,,,,,,,,,,,,,,,,,
2/18/2021,FARMINGTON SCHOOL DIST,5,42,168,227,,,,,,,,,,,,,,,,,,,,
2/18/2021,JUNCTION CITY SCHOOL DIST,5,16,36,52,,,,,,,,,,,,,,,,,,,,
2/18/2021,NEVADA SCHOOL DIST,5,10,25,35,,,,,,,,,,,,,,,,,,,,
2/18/2021,OUACHITA RIVER SCHOOL DIST,5,19,25,44,,,,,,,,,,,,,,,,,,,,
2/18/2021,RIVERVIEW SCHOOL DIST,5,26,73,101,,,,,,,,,,,,,,,,,,,,
2/18/2021,TEXARKANA SCHOOL DIST,5,84,114,205,,,,,,,,,,,,,,,,,,,,
2/18/2021,WESTSIDE CONS. SCH DIST(CRAIGHEAD),5,46,109,168,,,,,,,,,,,,,,,,,,,,
2/18/2021,WESTSIDE SCHOOL DIST (JOHNSON),5,12,30,42,,,,,,,,,,,,,,,,,,,,
2/18/2021,TOTAL,712,"5,665","15,709","22,700",,,,,,,,,,,,,,,,,,,,
2/15/2021,CABOT SCHOOL DIST,66,200,504,768,"CENTRAL AR CHRISTIAN, NORTH LITTLE ROCK",14,10,52,67,"U OF A, FAYETTEVILLE",62,264,"2,736","3,603",PUBLIC SCHOOL DISTRICTS,278,"4,507","9,206","14,378",PUBLIC SCHOOL DISTRICTS,"1,459","11,360","27,566","41,116"
2/15/2021,BENTONVILLE SCHOOL DIST,51,316,861,"1,272","PULASKI ACADEMY, LITTLE ROCK",8,17,95,127,"LYON COLLEGE, BATESVILLE",35,12,79,121,PRIVATE SCHOOLS,72,380,"1,364","2,032",PRIVATE SCHOOLS,94,588,"1,511","2,226"
2/15/2021,LITTLE ROCK SCHOOL DIST,48,339,903,"1,309",TOTAL,22,27,147,194,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",28,95,683,879,COLLEGES/UNIVERSITIES,69,639,"2,487","3,516",COLLEGES/UNIVERSITIES,368,"1,837","9,863","13,550"
2/15/2021,ROGERS SCHOOL DIST,48,292,"1,054","1,440",,,,,,"U OF A, LITTLE ROCK",24,57,266,374,,,,,,,,,,
2/15/2021,BRYANT SCHOOL DIST,42,167,543,753,,,,,,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",23,75,547,739,,,,,,,,,,
2/15/2021,SPRINGDALE SCHOOL DIST,41,391,"1,509","2,069",,,,,,"HARDING UNIVERSITY, SEARCY",16,85,383,591,,,,,,,,,,
2/15/2021,FORT SMITH SCHOOL DIST,35,329,793,"1,191",,,,,,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",15,39,176,271,,,,,,,,,,
2/15/2021,CONWAY SCHOOL DIST,34,164,605,808,,,,,,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",12,32,167,221,,,,,,,,,,
2/15/2021,PULASKI COUNTY SPECIAL SCHOOL DIST,27,226,491,779,,,,,,"NATIONAL PARK COLLEGE, HOT SPRINGS",11,23,95,150,,,,,,,,,,
2/15/2021,FAYETTEVILLE SCHOOL DIST,24,92,494,586,,,,,,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",10,47,261,331,,,,,,,,,,
2/15/2021,BENTON SCHOOL DIST,21,108,329,458,,,,,,"U OF A, FORT SMITH",10,58,273,370,,,,,,,,,,
2/15/2021,NORTH LITTLE ROCK SCHOOL DIST,21,136,324,500,,,,,,"U OF A, MONTICELLO",9,29,134,205,,,,,,,,,,
2/15/2021,SOUTH CONWAY COUNTY SCHOOL DIST,19,59,189,268,,,,,,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",8,34,77,125,,,,,,,,,,
2/15/2021,DARDANELLE SCHOOL DIST,18,56,179,250,,,,,,"U OF A, PINE BLUFF",7,43,187,254,,,,,,,,,,
2/15/2021,HOT SPRINGS SCHOOL DIST,18,53,154,215,,,,,,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",7,112,123,359,,,,,,,,,,
2/15/2021,LAKESIDE SCHOOL DIST(GARLAND),18,62,204,289,,,,,,"ARKANSAS STATE UNIVERSITY, JONESBORO",6,146,799,948,,,,,,,,,,
2/15/2021,RUSSELLVILLE SCHOOL DIST,18,128,359,502,,,,,,"CENTRAL BAPTIST COLLEGE, CONWAY",6,10,50,66,,,,,,,,,,
2/15/2021,VAN BUREN SCHOOL DIST,18,137,319,478,,,,,,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",5,23,232,292,,,,,,,,,,
2/15/2021,WHITE HALL SCHOOL DIST,18,53,176,246,,,,,,UACC AT MORRILTON,5,14,108,135,,,,,,,,,,
2/15/2021,SHERIDAN SCHOOL DIST,17,76,190,284,,,,,,TOTAL,299,"1,198","7,376","10,034",,,,,,,,,,
2/15/2021,BAUXITE SCHOOL DIST,16,45,114,167,,,,,,,,,,,,,,,,,,,,
2/15/2021,WEST MEMPHIS SCHOOL DIST,16,105,235,354,,,,,,,,,,,,,,,,,,,,
2/15/2021,VILONIA SCHOOL DIST,15,68,186,276,,,,,,,,,,,,,,,,,,,,
2/15/2021,EL DORADO SCHOOL DIST,14,89,186,286,,,,,,,,,,,,,,,,,,,,
2/15/2021,ENGLAND SCHOOL DIST,14,11,41,56,,,,,,,,,,,,,,,,,,,,
2/15/2021,BOONEVILLE SCHOOL DIST,13,23,55,85,,,,,,,,,,,,,,,,,,,,
2/15/2021,GREENWOOD SCHOOL DIST,13,82,240,338,,,,,,,,,,,,,,,,,,,,
2/15/2021,MARION SCHOOL DIST,13,86,256,365,,,,,,,,,,,,,,,,,,,,
2/15/2021,MCGEHEE SCHOOL DIST,13,37,71,118,,,,,,,,,,,,,,,,,,,,
